Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Elapsed Scan Time (sec)	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
206281	139	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.12
206281	140	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.12
206281	141	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	142	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	143	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	144	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	145	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	146	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.13
206281	147	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.13
206281	148	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.13
206281	149	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.13
206281	150	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.13
206281	151	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.13
206281	152	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.13
206281	153	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	154	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	155	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	156	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	157	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	158	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.13
206281	159	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.17
206281	160	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.17
206281	161	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.17
206281	162	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.17
206281	163	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.17
206281	164	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.17
206281	165	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.17
206281	166	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.17
206281	167	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	168	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	169	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	170	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	171	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	172	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	173	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	174	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	175	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	176	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	177	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	178	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	179	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.15
206281	180	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.15
206281	181	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.15
206281	182	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	183	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	184	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	185	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.13
206281	186	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.13
206281	187	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.13
206281	188	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.13
206281	189	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	190	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	191	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	192	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	193	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	194	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	195	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	196	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	197	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
206281	198	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.14
206281	199	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.14
206281	200	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.14
206281	201	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.12
206281	202	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.12
206281	203	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.12
206281	204	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.12
206281	205	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.12
206281	206	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.12
206281	207	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.12
206281	208	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.12
206281	209	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.12
206281	210	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.13
206281	211	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.13
206281	212	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.13
206281	213	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.13
206281	214	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.13
206281	215	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.13
206281	216	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.13
206281	217	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.13
206281	218	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.15
206281	219	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.15
206281	220	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.15
206281	221	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.15
206281	222	50.000	6	0.15		ITMS + p NSI SIM ms [423.00-433.00]	2.20	0.15
206281	223	50.000	7	0.15		ITMS + p NSI SIM ms [283.00-293.00]	2.20	0.15
206281	224	100.000	8	0.25	cid	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2.20	0.15
206281	225	100.000	9	0.25	cid	ITMS + p NSI SRM ms2 445.00@cid35.00 [423.00-433.00]	2.20	0.15
206281	226	100.000	10	0.26	cid	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	2.20	0.15
206281	227	100.000	11	0.26	cid	ITMS + c NSI Full ms2 332.00@cid35.00 [90.00-400.00]	2.20	0.14
206281	228	100.000	12	0.27	cid	ITMS + c NSI Full ms2 445.00@cid35.00 [120.00-500.00]	2.20	0.14
206281	229	50.000	1	0.15		ITMS + p NSI SIM ms [190.00-200.00]	2.20	0.14
206281	230	50.000	2	0.15		ITMS + p NSI SIM ms [329.10-335.10]	2.20	0.14
206281	231	50.000	3	0.15		ITMS + p NSI SIM ms [442.10-448.10]	2.20	0.14
206281	232	100.000	4	0.31	cid	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2.20	0.14
206281	233	100.000	5	0.31	cid	ITMS + p NSI CRM ms3 445.16@cid35.00 428.10@cid35.00 [312.50-327.50, 402.50-417.50]	2.20	0.14
