Dataset	ScanNumber	Ion Injection Time (ms)	Analyzer Temperature	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	PS Inj. Time (ms)	Analog Input 1 (V)	Analog Input 2 (V)	Scan Filter Text
301469	58	100.000	30.60	67831362.7855	-15925989.6694	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	59	100.000	30.60	67831362.7535	-15925989.6534	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	60	100.000	30.60	67831362.5728	-15925989.5683	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	61	100.000	30.60	67831363.3942	-15925989.9555	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	62	100.000	30.60	67831363.2024	-15925989.8644	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	63	100.000	30.60	67831363.0750	-15925989.8047	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	64	100.000	30.60	67831363.0976	-15925989.8151	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	65	100.000	30.60	67831362.8263	-15925989.6885	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	66	100.000	30.60	67831363.3568	-15925989.9377	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	67	100.000	30.60	67831362.7343	-15925989.6444	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	68	100.000	30.60	67831362.5703	-15925989.5677	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	69	100.000	30.60	67831362.5919	-15925989.5779	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	70	100.000	30.60	67831362.5578	-15925989.5614	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	71	100.000	30.60	67831362.8080	-15925989.6797	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	72	100.000	30.60	67831362.7985	-15925989.6752	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	73	100.000	30.60	67831362.9434	-15925989.7424	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	74	100.000	30.60	67831362.4417	-15925989.5072	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	75	100.000	30.60	67831362.7204	-15925989.6389	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	76	100.000	30.60	67831362.7673	-15925989.6600	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	77	100.000	30.60	67831362.4343	-15925989.5044	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	78	100.000	30.60	67831362.7821	-15925989.6674	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	79	100.000	30.60	67831361.7757	-15925989.1942	-5.07	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	80	100.000	30.60	67831362.4527	-15925989.5132	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	81	100.000	30.60	67831362.7880	-15925989.6705	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	82	100.000	30.60	67831362.8790	-15925989.7126	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	83	100.000	30.60	67831363.0748	-15925989.8052	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	84	100.000	30.60	67831363.2523	-15925989.8879	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	85	100.000	30.60	67831362.8275	-15925989.6888	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	86	100.000	30.60	67831362.8654	-15925989.7055	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	87	100.000	30.60	67831362.8772	-15925989.7122	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	88	100.000	30.60	67831362.9614	-15925989.7522	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	89	100.000	30.60	67831362.3553	-15925989.4662	-5.07	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	90	100.000	30.60	67831363.2279	-15925989.8760	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	91	100.000	30.60	67831362.7232	-15925989.6396	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	92	100.000	30.60	67831362.8759	-15925989.7113	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	93	100.000	30.60	67831362.7590	-15925989.6564	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	94	100.000	30.60	67831363.0446	-15925989.7908	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	95	100.000	30.60	67831362.7922	-15925989.6732	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	96	100.000	30.60	67831362.9052	-15925989.7244	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	97	100.000	30.60	67831363.0676	-15925989.8013	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	98	100.000	30.60	67831363.2678	-15925989.8955	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	99	100.000	30.60	67831362.5148	-15925989.5418	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	100	100.000	30.60	67831362.9145	-15925989.7294	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	101	100.000	30.60	67831362.8932	-15925989.7199	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	102	100.000	30.60	67831362.6115	-15925989.5881	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	103	100.000	30.60	67831362.8733	-15925989.7096	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	104	100.000	30.60	67831362.7936	-15925989.6724	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	105	100.000	30.60	67831362.4053	-15925989.4897	-5.07	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	106	100.000	30.60	67831363.0480	-15925989.7927	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	107	100.000	30.60	67831362.3980	-15925989.4880	-5.07	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	108	100.000	30.60	67831362.6127	-15925989.5878	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	109	100.000	30.60	67831362.8940	-15925989.7195	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	110	100.000	30.60	67831362.9074	-15925989.7255	-5.07	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	111	100.000	30.60	67831362.8368	-15925989.6932	-5.07	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	112	100.000	30.64	67831357.4431	-15925987.1600	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	113	100.000	30.64	67831357.3190	-15925987.1017	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	114	100.000	30.64	67831357.5450	-15925987.2086	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	115	100.000	30.64	67831357.1401	-15925987.0181	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	116	100.000	30.64	67831357.2660	-15925987.0780	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	117	100.000	30.64	67831357.5607	-15925987.2151	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	118	100.000	30.64	67831357.5816	-15925987.2251	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	119	100.000	30.64	67831358.0266	-15925987.4346	-5.11	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	120	100.000	30.64	67831357.5310	-15925987.2014	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	121	100.000	30.64	67831358.1016	-15925987.4696	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	122	100.000	30.64	67831352.3182	-15925984.7539	-5.11	-0.07	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	123	100.000	30.64	67831357.1261	-15925987.0114	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	124	100.000	30.64	67831357.0377	-15925986.9699	-5.11	-0.04	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	125	100.000	30.64	67831357.1913	-15925987.0425	-5.11	-0.03	50.000	-0.006	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	126	100.000	30.64	67831357.2333	-15925987.0613	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	127	100.000	30.64	67831357.0153	-15925986.9590	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	128	100.000	30.64	67831357.1534	-15925987.0246	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	129	100.000	30.64	67831357.5737	-15925987.2221	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	130	100.000	30.64	67831357.3484	-15925987.1159	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	131	100.000	30.64	67831356.8078	-15925986.8609	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	132	100.000	30.64	67831356.9662	-15925986.9363	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	133	100.000	30.64	67831357.1391	-15925987.0184	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	134	100.000	30.64	67831357.4016	-15925987.1401	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	135	100.000	30.64	67831357.4382	-15925987.1577	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	136	100.000	30.64	67831357.7814	-15925987.3197	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	137	100.000	30.64	67831356.8253	-15925986.8706	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	138	100.000	30.64	67831357.4935	-15925987.1831	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	139	100.000	30.64	67831357.4760	-15925987.1756	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	140	100.000	30.64	67831356.9741	-15925986.9404	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	141	100.000	30.64	67831356.5766	-15925986.7527	-5.11	-0.04	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	142	100.000	30.64	67831357.2578	-15925987.0732	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
301469	143	100.000	30.64	67831357.3805	-15925987.1307	-5.11	-0.03	50.000	-0.001	0	FTMS {1,1}  + p NSI Full ms2 1000.00@hcd25.00 [300.00-2000.00]
