Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
407579	216	0.215	1.78	1	222.9009	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	217	0.213	1.78	1	223.0455	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	218	0.227	1.78	1	223.0224	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	219	0.211	1.78	1	222.9582	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.67
407579	220	0.211	1.78	1	223.0020	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.68
407579	221	0.223	1.78	1	223.0513	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.70
407579	222	0.236	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.74
407579	223	0.244	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.24	0.62
407579	224	0.249	1.78	1	223.0199	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.73
407579	225	0.230	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	226	0.248	1.78	1	223.0063	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	227	0.233	1.78	1	223.0710	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.55
407579	228	0.250	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.58
407579	229	0.239	1.78	1	223.0229	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	230	0.244	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.56
407579	231	0.233	1.78	1	223.0379	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.59
407579	232	0.239	1.78	1	0	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.61
407579	233	0.237	1.78	1	223.0301	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.63
407579	234	0.240	1.78	1	223.0110	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.64
407579	235	0.244	1.78	1	223.0778	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.66
407579	236	0.259	1.78	1	222.9910	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.69
407579	237	0.246	1.78	1	223.0451	ITMS + p NSI Z ms [150.00-2000.00]	2.25	0.72
