Dataset	ScanNumber	Ion Injection Time (ms)	Analyzer Temperature	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	PS Inj. Time (ms)	Analog Input 1 (V)	Analog Input 2 (V)	Scan Filter Text	Source TMP Temperature (°C)
286691	51	100.000	30.93	67865531.4532	-16138892.1278	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	52	100.000	30.93	67865531.9059	-16138892.3439	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	53	100.000	30.93	67865531.8162	-16138892.3006	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	54	100.000	30.93	67865532.0442	-16138892.4087	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	55	100.000	30.93	67865531.6897	-16138892.2402	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	56	100.000	30.93	67865532.2910	-16138892.5271	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	57	100.000	30.93	67865531.8978	-16138892.3391	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	58	100.000	30.93	67865531.8075	-16138892.2961	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	59	100.000	30.93	67865532.2105	-16138892.4887	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	60	100.000	30.93	67865532.0479	-16138892.4100	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	61	100.000	30.93	67865531.6216	-16138892.2070	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	62	100.000	30.93	67865531.8619	-16138892.3227	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	63	100.000	30.93	67865532.1298	-16138892.4503	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	64	100.000	30.93	67865532.1008	-16138892.4360	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	65	100.000	30.93	67865532.1075	-16138892.4391	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	66	100.000	30.93	67865532.1332	-16138892.4518	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	67	100.000	30.93	67865532.4280	-16138892.5920	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	68	100.000	30.93	67865531.5758	-16138892.1858	-5.37	-0.02	5.000	-0.217	-0.019	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	69	100.000	30.93	67865532.3055	-16138892.5334	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	70	100.000	30.93	67865531.3260	-16138892.0678	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	71	100.000	30.93	67865531.3315	-16138892.0693	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	72	100.000	30.93	67865531.4268	-16138892.1145	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	73	100.000	30.93	67865531.5346	-16138892.1664	-5.37	-0.02	5.000	-0.217	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	74	100.000	30.93	67865531.9265	-16138892.3531	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	75	100.000	30.93	67865531.6502	-16138892.2218	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	76	100.000	30.93	67865531.2014	-16138892.0082	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	77	100.000	30.93	67865531.8782	-16138892.3303	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	78	100.000	30.93	67865531.2551	-16138892.0334	-5.37	-0.03	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	79	100.000	30.93	67865531.4121	-16138892.1086	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
286691	80	100.000	30.93	67865531.7582	-16138892.2729	-5.37	-0.02	5.000	-0.221	-0.018	FTMS {0,0}  - p NSI Full ms [250.00-2400.00]	48.0
