Dataset	ScanNumber	Scan Filter Text	Source Temperature
251367	368	+ c EI Q1MS [50.000-600.000]	250.45
251367	369	+ c EI Q1MS [50.000-600.000]	250.45
251367	370	+ c EI Q1MS [50.000-600.000]	250.45
251367	371	+ c EI Q1MS [50.000-600.000]	250.26
251367	372	+ c EI Q1MS [50.000-600.000]	250.26
251367	373	+ c EI Q1MS [50.000-600.000]	250.26
251367	374	+ c EI Q1MS [50.000-600.000]	250.26
251367	375	+ c EI Q1MS [50.000-600.000]	250.26
251367	376	+ c EI Q1MS [50.000-600.000]	250.26
251367	377	+ c EI Q1MS [50.000-600.000]	250.26
251367	378	+ c EI Q1MS [50.000-600.000]	250.29
251367	379	+ c EI Q1MS [50.000-600.000]	250.29
251367	380	+ c EI Q1MS [50.000-600.000]	250.29
251367	381	+ c EI Q1MS [50.000-600.000]	250.29
251367	382	+ c EI Q1MS [50.000-600.000]	250.29
251367	383	+ c EI Q1MS [50.000-600.000]	250.29
251367	384	+ c EI Q1MS [50.000-600.000]	250.29
251367	385	+ c EI Q1MS [50.000-600.000]	250.29
251367	386	+ c EI Q1MS [50.000-600.000]	250.60
251367	387	+ c EI Q1MS [50.000-600.000]	250.60
251367	388	+ c EI Q1MS [50.000-600.000]	250.60
251367	389	+ c EI Q1MS [50.000-600.000]	250.60
251367	390	+ c EI Q1MS [50.000-600.000]	250.60
251367	391	+ c EI Q1MS [50.000-600.000]	250.60
251367	392	+ c EI Q1MS [50.000-600.000]	250.60
251367	393	+ c EI Q1MS [50.000-600.000]	250.60
251367	394	+ c EI Q1MS [50.000-600.000]	250.60
251367	395	+ c EI Q1MS [50.000-600.000]	250.60
251367	396	+ c EI Q1MS [50.000-600.000]	250.60
251367	397	+ c EI Q1MS [50.000-600.000]	250.60
251367	398	+ c EI Q1MS [50.000-600.000]	250.60
251367	399	+ c EI Q1MS [50.000-600.000]	250.60
251367	400	+ c EI Q1MS [50.000-600.000]	250.60
251367	401	+ c EI Q1MS [50.000-600.000]	250.76
251367	402	+ c EI Q1MS [50.000-600.000]	250.76
251367	403	+ c EI Q1MS [50.000-600.000]	250.76
251367	404	+ c EI Q1MS [50.000-600.000]	250.76
251367	405	+ c EI Q1MS [50.000-600.000]	250.76
251367	406	+ c EI Q1MS [50.000-600.000]	250.76
251367	407	+ c EI Q1MS [50.000-600.000]	250.76
251367	408	+ c EI Q1MS [50.000-600.000]	250.54
251367	409	+ c EI Q1MS [50.000-600.000]	250.54
251367	410	+ c EI Q1MS [50.000-600.000]	250.54
251367	411	+ c EI Q1MS [50.000-600.000]	250.54
251367	412	+ c EI Q1MS [50.000-600.000]	250.54
251367	413	+ c EI Q1MS [50.000-600.000]	250.54
251367	414	+ c EI Q1MS [50.000-600.000]	250.54
251367	415	+ c EI Q1MS [50.000-600.000]	250.54
