Dataset	ScanNumber	Elapsed Scan Time (sec)	Average Scan by Inst	Micro Scan count	Collision Mode	Scan Filter Text	Source Temperature
232087	287	0.02	Yes	1		+ c EI SRM ms2 161.000 [72.999-73.001]	249.36
232087	288	0.02	Yes	1		+ c EI SRM ms2 175.000 [72.999-73.001]	249.36
232087	289	0.02	Yes	1		+ c EI SRM ms2 216.000 [72.999-73.001]	249.36
232087	290	0.02	Yes	1		+ c EI SRM ms2 233.000 [72.999-73.001]	249.36
232087	291	0.02	Yes	1		+ c EI SRM ms2 247.000 [72.999-73.001]	249.36
232087	292	0.02	Yes	1		+ c EI SRM ms2 261.000 [72.999-73.001]	249.36
232087	293	0.02	Yes	1		+ c EI SRM ms2 265.000 [72.999-73.001]	249.36
232087	294	0.02	Yes	1		+ c EI SRM ms2 299.000 [72.999-73.001]	249.36
232087	295	0.02	Yes	1		+ c EI SRM ms2 299.010 [72.999-73.001]	249.36
232087	296	0.02	Yes	1		+ c EI SRM ms2 304.000 [72.999-73.001]	249.36
232087	297	0.02	Yes	1		+ c EI SRM ms2 308.000 [75.999-76.001]	249.36
232087	298	0.02	Yes	1		+ c EI SRM ms2 315.000 [72.999-73.001]	249.36
232087	299	0.02	Yes	1		+ c EI SRM ms2 338.000 [146.999-147.001]	249.36
232087	300	0.02	Yes	1		+ c EI SRM ms2 375.000 [146.999-147.001]	249.36
232087	301	0.02	Yes	1		+ c EI SRM ms2 400.000 [314.999-315.001]	249.36
232087	302	0.02	Yes	1		+ c EI SRM ms2 465.000 [256.999-257.001]	249.36
232087	303	0.02	Yes	1		+ c EI SRM ms2 465.010 [146.999-147.001]	249.36
232087	304	0.03	Yes	1		+ c EI SRM ms2 467.000 [258.999-259.001]	249.36
