Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	537	Predicted	15.946	0.260	30000	1	533	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	423716.1	-0.030	etd	FTMS + c ESI d Full ms2 649.8490@etd121.47 [100.0000-1310.0000]	2.557
706505	538	Predicted	12.466	0.259	30000	1	533	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	417598.8	0.016	sa_hcd	FTMS + c ESI d sa Full ms2 649.8490@etd121.47 649.8490@hcd30.00 [100.0000-1310.0000]	2.557
706505	539	Predicted	12.466	0.266	30000	1	533	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	437137.3	-0.002	sa_cid	FTMS + c ESI d sa Full ms2 649.8490@etd121.47 649.8490@cid30.00 [100.0000-1310.0000]	2.557
706505	540	On	0.266	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723734.937588	-151810976.422095	-6.75	-0.15	-0.17	570261.9	-0.005		FTMS + p ESI Full ms [350.0000-2000.0000]	2.557
706505	541	Predicted	0.409	0.199	30000	1	519	0	3	-25.99	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	690751.1	0.032	hcd	FTMS + c ESI d Full ms2 432.8998@hcd30.00 [100.0000-1309.0000]	2.557
706505	542	Predicted	0.427	0.135	30000	1	519	0	3	-26.01	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	506612.7	0.044	hcd	FTMS + c ESI d Full ms2 433.9021@hcd30.00 [100.0000-1312.0000]	2.557
706505	543	Predicted	9.136	0.256	30000	1	519	0	2	-35.71	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	771886.7	0.041	hcd	FTMS + c ESI d Full ms2 648.8461@hcd30.00 [100.0000-1308.0000]	2.557
706505	544	Predicted	0.407	0.216	30000	1	541	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	604199.9	0.008	etd	FTMS + c ESI d Full ms2 432.8998@etd53.99 [100.0000-1309.0000]	2.557
706505	545	Predicted	0.386	0.180	30000	1	541	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	467877.7	-0.003	sa_hcd	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@hcd30.00 [100.0000-1309.0000]	2.557
706505	546	Predicted	0.386	0.197	30000	1	541	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	429217.6	-0.018	sa_cid	FTMS + c ESI d sa Full ms2 432.8998@etd53.99 432.8998@cid30.00 [100.0000-1309.0000]	2.557
706505	547	Predicted	0.459	0.177	30000	1	542	0	3	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	353191.9	-0.023	etd	FTMS + c ESI d Full ms2 433.9021@etd53.99 [100.0000-1312.0000]	2.557
706505	548	Predicted	0.417	0.180	30000	1	542	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	384883.3	-0.005	sa_hcd	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@hcd30.00 [100.0000-1312.0000]	2.557
706505	549	Predicted	0.417	0.197	30000	1	542	0	3	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	272845.6	-0.031	sa_cid	FTMS + c ESI d sa Full ms2 433.9021@etd53.99 433.9021@cid30.00 [100.0000-1312.0000]	2.557
706505	550	Predicted	7.544	0.251	30000	1	543	0	2	-1.00	1.60	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	396300.4	-0.014	etd	FTMS + c ESI d Full ms2 648.8461@etd121.47 [100.0000-1308.0000]	2.557
706505	551	Predicted	6.821	0.254	30000	1	543	0	2	-1.00	2.00	211723797.503021	-151811066.138157	-6.75	-0.08	-0.09	387420.3	0.017	sa_hcd	FTMS + c ESI d sa Full ms2 648.8461@etd121.47 648.8461@hcd30.00 [100.0000-1308.0000]	2.557
